"Natural gas total consumption, million cubic feet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,,,,,,,,,,,,,,,,,,,,,,,,
PA,"521,830","529,131","549,509","586,070","608,918","629,004","677,156","678,478","717,909","765,941","772,388","802,113","828,961","783,297","715,548","653,742","713,518","668,337","673,770","740,818","775,715","784,691","694,639","643,952","676,721","625,667","609,954","636,157","668,661","689,464","656,409","644,606","692,398","705,697","713,443","735,754","745,844","706,066","644,047","688,774","702,883","634,795","675,582","689,993","696,174","691,591","659,754","752,401","749,883","809,706","879,365","965,743","1,037,978","1,121,697","1,244,371","1,255,621","1,300,999","1,349,685",,,,,,,,,,,,,,,,,,,,,,,,,
RI,"11,839","12,780","13,794","14,725","15,465","16,349","16,684","18,493","20,704","22,555","25,093","25,662","22,494","20,559","23,781","23,129","20,697","25,631","23,042","27,219","27,630","29,202","27,874","29,044","31,690","29,874","26,354","35,930","30,787","33,937","39,350","75,964","115,830","74,472","108,935","100,903","119,989","117,707","130,766","118,006","88,427","95,607","87,805","78,456","72,609","80,764","77,204","87,972","89,256","92,744","94,110","100,455","95,475","85,537","88,885","93,885","85,977","92,080",,,,,,,,,,,,,,,,,,,,,,,,,
SC,"58,532","60,928","70,645","75,099","78,716","86,865","96,437","100,539","127,514","140,826","159,830","156,263","144,120","153,147","131,991","122,949","148,989","138,585","117,573","119,319","142,228","141,924","98,100","101,632","108,429","97,469","98,549","105,661","112,310","116,818","130,454","133,828","138,057","141,522","144,391","151,919","149,579","153,912","159,459","162,927","160,438","141,785","184,803","146,641","163,787","172,032","174,806","175,701","170,076","190,927","220,235","229,498","244,850","232,297","230,525","275,750","275,946","276,948",,,,,,,,,,,,,,,,,,,,,,,,,
SD,"24,533","25,820","27,413","25,159","27,639","26,965","28,256","27,735","28,815","33,826","36,319","31,832","34,077","31,221","32,076","32,534","39,207","36,097","35,423","25,724","24,078","22,056","25,089","23,326","24,592","25,202","23,293","21,087","24,227","25,505","25,055","26,260","26,645","31,311","30,980","34,296","36,913","36,152","33,043","35,794","37,940","37,077","41,577","43,882","41,679","42,555","40,739","53,938","65,257","66,185","72,563","73,605","70,237","81,985","80,614","79,099","80,513","80,730",,,,,,,,,,,,,,,,,,,,,,,,,
TN,"146,609","161,066","168,084","169,855","181,901","201,857","226,124","232,212","234,288","247,857","256,148","265,011","277,275","293,620","260,171","217,328","212,326","202,135","184,048","226,477","229,661","223,529","207,161","194,610","206,353","190,266","188,000","200,572","214,243","221,481","219,831","227,108","241,752","254,262","246,203","256,924","280,409","283,069","279,074","278,846","270,664","255,989","255,515","257,316","231,133","230,338","221,626","221,118","229,934","216,944","257,443","264,230","277,127","279,440","305,635","313,380","326,545","321,707",,,,,,,,,,,,,,,,,,,,,,,,,
TX,"2,720,273","2,736,225","2,859,481","2,935,803","2,943,361","3,067,942","3,263,914","3,485,246","3,696,396","3,877,376","4,093,357","4,364,728","4,412,636","4,621,378","4,463,488","3,944,377","3,975,307","4,143,023","4,211,432","4,001,355","4,091,099","3,926,687","3,394,404","3,241,515","3,432,624","3,385,715","3,185,509","3,303,281","3,531,008","3,743,850","3,728,685","3,687,744","3,612,967","3,818,255","3,746,454","3,893,480","4,132,299","4,116,310","4,205,530","4,009,774","4,421,871","4,273,372","4,323,451","4,071,289","3,929,754","3,522,508","3,454,960","3,538,074","3,564,353","3,402,867","3,589,086","3,707,881","3,863,669","4,034,401","3,938,498","4,123,656","4,030,158","3,881,644",,,,,,,,,,,,,,,,,,,,,,,,,
UT,"69,991","76,491","84,964","95,566","107,336","107,903","103,952","105,052","109,866","119,879","121,937","121,403","124,093","123,106","121,015","124,160","146,205","106,315","118,513","126,047","115,092","102,240","117,706","110,185","115,578","115,117","105,175","98,987","108,953","113,537","116,648","132,766","122,785","138,199","137,222","156,971","161,285","165,305","170,134","160,431","165,023","159,299","163,380","154,125","155,891","160,275","187,400","219,701","224,187","214,220","219,214","222,227","223,039","247,286","241,738","232,613","240,114","222,017",,,,,,,,,,,,,,,,,,,,,,,,,
VA,"66,117","70,564","77,183","83,003","89,025","95,650","121,638","115,887","121,928","128,748","136,523","144,014","155,658","152,848","143,650","121,320","123,509","118,020","134,144","134,088","158,479","151,737","150,964","142,944","143,581","139,458","141,023","158,897","163,529","173,726","184,342","181,112","212,901","238,480","252,029","275,783","260,424","248,981","260,347","276,811","268,791","237,853","258,202","262,969","277,433","299,746","274,175","319,913","299,364","319,136","375,420","373,444","410,106","418,507","419,706","500,478","543,344","566,713",,,,,,,,,,,,,,,,,,,,,,,,,
VT,0,0,0,0,0,0,898,"1,362","1,664","2,315","2,663","3,048","3,795","4,187","4,747","3,973","3,671","3,993","3,779","4,354","3,991","4,383","4,370","4,359","4,868","4,998","5,019","5,180","5,550","6,150","6,766","7,072","7,611","7,240","7,312","7,292","7,355","8,216","7,735","8,033","10,427","7,919","8,367","8,400","8,685","8,372","8,056","8,867","8,624","8,638","8,443","8,610","8,192","9,602","10,677","11,949","12,094","11,930",,,,,,,,,,,,,,,,,,,,,,,,,
WA,"64,934","70,343","81,431","86,834","105,789","108,108","116,879","127,230","139,421","144,521","149,992","156,663","170,448","197,861","182,723","164,334","148,781","142,657","127,280","158,515","128,770","124,942","108,653","107,193","126,287","134,599","118,361","131,745","146,779","162,779","162,734","174,001","174,994","221,424","252,811","254,302","273,779","256,349","290,246","287,322","286,676","312,114","233,716","249,599","262,485","264,754","263,395","272,613","298,140","310,426","285,727","264,588","264,540","318,292","306,674","307,735","301,418","325,253",,,,,,,,,,,,,,,,,,,,,,,,,
WI,"90,620","113,679","136,516","152,354","170,202","200,484","224,675","248,033","271,765","316,279","337,822","348,132","320,826","367,961","381,148","364,801","315,154","349,160","370,726","367,517","351,857","324,611","312,007","299,099","305,075","308,365","278,848","279,365","317,146","331,093","309,380","331,524","331,881","348,549","356,171","381,149","402,864","400,553","368,034","380,575","393,617","359,784","385,310","394,711","383,316","410,250","372,462","398,370","409,378","387,066","372,898","393,734","402,655","442,544","463,185","457,744","482,234","487,420",,,,,,,,,,,,,,,,,,,,,,,,,
WV,"150,294","162,600","153,823","154,646","163,543","164,436","171,478","151,078","183,003","169,841","181,278","178,380","199,141","186,316","182,370","158,435","150,723","144,535","151,839","148,538","143,047","148,527","130,029","115,813","124,368","117,168","112,572","115,208","122,139","129,459","120,453","110,739","129,264","135,442","145,768","148,743","154,841","159,502","142,872","139,977","147,871","141,090","146,456","126,986","122,267","117,136","113,085","115,973","111,479","109,652","113,179","115,360","129,753","142,082","165,341","174,165","171,824","187,324",,,,,,,,,,,,,,,,,,,,,,,,,
WY,"51,042","57,320","59,120","59,440","60,323","59,185","65,648","73,284","78,801","100,071","109,996","115,286","125,834","108,599","95,746","87,188","86,819","83,623","87,292","93,797","68,975","69,056","90,923","80,871","85,424","82,172","75,029","81,705","82,363","82,362","92,190","97,292","123,538","104,639","106,300","97,693","101,403","100,942","109,189","96,727","101,314","98,569","112,872","115,358","107,060","108,314","108,481","140,912","142,705","142,794","150,106","156,457","153,333","149,818","136,796","119,265","123,350","126,407",,,,,,,,,,,,,,,,,,,,,,,,,
US,"11,966,537","12,489,268","13,266,513","13,970,229","14,813,808","15,279,716","16,452,403","17,388,360","18,632,060","20,056,240","21,139,383","21,793,451","22,101,451","22,049,362","21,223,132","19,537,594","19,946,495","19,520,579","19,627,478","20,240,760","19,877,293","19,403,856","18,001,046","16,834,914","17,950,533","17,280,941","16,221,295","17,210,809","18,029,590","19,118,999","19,173,551","19,562,066","20,228,231","20,789,838","21,247,098","22,206,901","22,609,080","22,737,342","22,245,956","22,405,151","23,333,121","22,238,624","23,027,021","22,276,502","22,402,545","22,014,435","21,699,071","23,103,793","23,277,001","22,910,072","24,086,798","24,477,430","25,538,484","26,155,070","26,593,371","27,243,861","27,444,223","27,125,752",,,,,,,,,,,,,,,,,,,,,,,,,
