"Natural gas total consumption, million cubic feet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,,,,,,,,,,,,,,,,,,,,,,,,
GA,"182,087","179,957","192,638","187,600","206,691","211,321","233,291","254,334","283,115","311,543","332,526","342,579","331,143","348,089","330,339","326,559","261,320","264,665","278,272","312,299","315,201","316,613","294,651","295,531","307,325","281,805","279,082","303,420","323,030","317,602","311,016","323,066","342,965","350,724","341,771","373,800","384,666","371,690","368,612","337,994","413,887","351,109","383,546","379,761","394,986","412,560","420,469","441,107","425,042","462,798","530,031","522,898","615,772","625,283","652,407","694,400","706,688","688,561",,,,,,,,,,,,,,,,,,,,,,,,,
HI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,131","2,899","2,804","2,669","2,376","2,483","2,462","2,610","2,612","2,694","2,788","2,694","2,695","2,681","2,778","2,773","2,672","2,611","2,654","2,735","2,841","2,818","2,734","2,732","2,774","2,795","2,783","2,850","2,701","2,608","2,627","2,618","2,689","2,854","2,916","2,924","3,040","3,105",,,,,,,,,,,,,,,,,,,,,,,,,
IA,"187,138","204,663","213,552","219,005","243,634","247,513","239,478","272,850","297,498","318,341","348,662","344,639","344,516","364,640","367,595","345,798","311,425","280,246","238,229","291,521","269,581","253,231","237,089","220,517","234,845","225,903","206,902","203,063","239,127","225,740","218,864","233,938","231,602","248,060","248,465","261,198","272,377","254,499","232,067","230,702","232,573","224,336","226,457","230,161","226,819","241,340","238,454","293,274","325,772","315,186","311,075","306,909","295,183","326,139","329,383","317,821","330,093","391,125",,,,,,,,,,,,,,,,,,,,,,,,,
ID,"22,006","23,969","25,806","26,635","30,825","33,889","36,104","34,283","39,479","41,436","46,570","50,096","56,630","56,045","53,057","60,451","47,156","45,537","44,210","54,237","49,047","44,960","39,971","35,179","38,604","39,194","34,721","37,148","40,736","45,671","45,512","51,056","48,915","56,160","56,906","63,774","67,176","68,672","69,280","70,675","72,701","80,279","71,481","69,868","75,335","74,540","75,709","81,937","88,515","85,198","83,326","82,544","89,004","104,784","92,045","104,729","106,304","111,448",,,,,,,,,,,,,,,,,,,,,,,,,
IL,"517,997","557,054","602,932","641,000","715,850","756,717","840,872","948,353","994,404","1,085,392","1,173,878","1,229,277","1,207,289","1,150,266","1,149,394","1,095,115","1,175,235","1,167,099","1,174,934","1,142,732","1,089,720","1,061,957","994,179","938,340","1,032,778","962,039","924,280","873,437","965,388","995,531","939,519","987,711","993,597","1,031,429","1,025,117","1,078,108","1,119,254","1,077,188","957,277","1,004,320","1,030,645","951,616","1,049,880","998,487","953,207","969,642","893,998","965,591","1,000,501","956,066","966,679","986,866","940,367","1,056,825","1,093,929","993,548","1,024,185","1,018,128",,,,,,,,,,,,,,,,,,,,,,,,,
IN,"212,327","239,877","272,252","297,815","333,685","357,860","399,896","434,632","454,013","530,981","545,368","566,996","576,948","542,300","531,872","477,341","425,221","398,268","440,955","504,185","489,254","496,349","467,842","426,770","452,284","432,958","395,181","412,589","456,813","462,053","450,955","457,311","483,495","517,777","519,261","535,211","573,208","556,642","521,767","556,956","570,585","501,711","539,034","527,037","526,701","531,111","496,303","535,795","551,423","506,943","573,866","630,669","649,920","672,751","713,417","718,724","754,277","720,499",,,,,,,,,,,,,,,,,,,,,,,,,
KS,"361,028","351,710","361,030","369,236","393,668","443,017","483,997","450,963","496,550","547,227","575,694","606,989","628,109","604,460","587,013","498,727","515,197","506,910","519,346","584,236","488,338","428,130","400,920","346,204","363,671","355,467","312,680","328,064","352,923","341,289","352,998","370,557","343,217","391,604","416,385","367,016","362,370","338,231","326,674","302,932","312,369","272,500","304,992","281,346","256,779","255,123","264,253","286,538","282,904","286,972","275,184","279,724","262,315","283,177","284,651","270,938","267,315","269,477",,,,,,,,,,,,,,,,,,,,,,,,,
KY,"148,606","151,042","158,286","166,036","174,943","171,920","148,651","192,464","196,807","234,882","248,048","244,360","255,208","245,472","228,003","207,539","245,967","219,521","212,913","218,689","202,284","199,445","188,536","174,306","189,256","172,510","167,173","171,910","184,079","188,520","184,334","187,443","189,890","203,310","208,402","224,068","236,470","227,935","205,134","218,404","225,174","208,975","227,920","223,226","225,470","234,080","211,048","229,798","225,295","206,833","232,099","223,034","225,924","229,983","255,435","270,958","271,846","283,905",,,,,,,,,,,,,,,,,,,,,,,,,
LA,"969,827","1,028,609","1,014,784","1,090,602","1,144,233","1,109,836","1,202,314","1,394,376","1,521,492","1,762,955","1,840,840","1,883,924","1,939,762","2,009,859","2,008,364","1,788,588","2,043,705","2,190,848","2,249,172","1,978,382","1,794,007","1,781,716","1,556,052","1,412,983","1,594,347","1,386,365","1,438,564","1,500,679","1,445,704","1,555,981","1,587,996","1,525,087","1,551,245","1,578,619","1,585,591","1,678,509","1,616,445","1,661,066","1,569,196","1,495,484","1,536,732","1,311,809","1,431,099","1,311,220","1,349,942","1,313,637","1,297,389","1,383,580","1,323,501","1,278,197","1,448,441","1,507,505","1,562,992","1,478,918","1,507,016","1,555,799","1,678,472","1,680,548",,,,,,,,,,,,,,,,,,,,,,,,,
MA,"77,886","81,768","89,015","98,447","106,699","114,227","116,198","128,217","132,325","136,988","147,307","156,451","160,280","155,547","155,268","153,967","156,247","160,343","160,503","156,459","182,587","184,575","195,107","191,815","208,758","218,884","186,350","226,820","210,975","251,434","263,882","273,179","332,168","337,790","371,626","381,722","377,206","402,696","358,855","344,801","343,324","349,103","393,194","403,991","372,532","378,068","370,664","408,704","406,719","395,852","432,298","449,195","416,349","421,000","421,671","444,331","427,946","449,302",,,,,,,,,,,,,,,,,,,,,,,,,
